STATION,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS
USC00439184,1997-12-01,7.4,89.0,229.0,,1.7,-7.8,-2.8
USC00439184,1997-12-02,4.1,102.0,330.0,,-2.2,-10.0,-6.7
USC00439184,1997-12-03,1.0,25.0,356.0,,-5.0,-11.1,-6.7
USC00439184,1997-12-04,0.0,0.0,330.0,,-1.1,-8.9,-5.0
USC00439184,1997-12-05,0.0,0.0,305.0,,0.6,-7.2,-0.6
USC00439184,1997-12-06,7.6,127.0,406.0,,0.6,-3.9,-3.9
USC00439184,1997-12-07,0.5,13.0,356.0,,-0.6,-6.7,-5.0
USC00439184,1997-12-08,0.8,13.0,305.0,,-1.1,-6.7,-6.7
USC00439184,1997-12-09,0.0,0.0,305.0,,-5.6,-17.8,-15.0
USC00439184,1997-12-10,0.0,0.0,305.0,,-3.9,-15.6,-13.3
USC00439184,1997-12-11,0.0,0.0,305.0,,-2.8,-19.4,-17.8
USC00439184,1997-12-12,0.0,0.0,305.0,,-2.2,-21.1,-8.9
USC00439184,1997-12-13,0.0,0.0,305.0,,-2.8,-10.0,-5.0
USC00439184,1997-12-14,3.3,51.0,330.0,,-0.6,-5.6,-3.9
USC00439184,1997-12-15,4.3,102.0,432.0,,-2.8,-21.7,-20.6
USC00439184,1997-12-16,0.0,0.0,432.0,,-9.4,-21.7,-13.3
USC00439184,1997-12-17,0.0,0.0,406.0,,1.7,-15.0,-6.1
USC00439184,1997-12-18,0.0,0.0,406.0,,3.9,-8.3,-7.2
USC00439184,1997-12-19,0.0,0.0,381.0,,-0.6,-10.0,-5.6
USC00439184,1997-12-20,0.0,0.0,381.0,,-1.7,-7.2,-1.7
USC00439184,1997-12-21,0.0,0.0,356.0,,-1.1,-18.9,-18.9
USC00439184,1997-12-22,0.0,0.0,356.0,,-8.9,-22.8,-22.8
USC00439184,1997-12-23,0.0,0.0,356.0,,-5.6,-23.3,-7.8
USC00439184,1997-12-24,6.6,76.0,432.0,,-2.2,-8.3,-6.7
USC00439184,1997-12-25,4.3,5.0,432.0,,-2.2,-12.8,-3.3
USC00439184,1997-12-26,13.7,152.0,533.0,,1.7,-3.9,0.6
USC00439184,1997-12-27,1.8,13.0,508.0,,1.7,-3.9,-1.7
USC00439184,1997-12-28,0.0,0.0,508.0,,1.7,-15.0,-15.0
USC00439184,1997-12-29,0.0,0.0,508.0,,-8.9,-23.9,-13.3
USC00439184,1997-12-30,3.8,64.0,584.0,,0.0,-14.4,-1.1
USC00439184,1997-12-31,5.8,102.0,660.0,,1.1,-14.4,-14.4
USC00439184,1998-01-01,0.0,0.0,660.0,,-13.3,-27.8,-27.8
USC00439184,1998-01-02,4.1,76.0,737.0,,-7.8,-31.1,-7.8
USC00439184,1998-01-03,0.0,0.0,686.0,,4.4,-7.8,3.3
USC00439184,1998-01-04,0.0,0.0,610.0,,7.2,1.7,1.7
USC00439184,1998-01-05,4.3,13.0,559.0,,2.8,-6.1,-2.2
USC00439184,1998-01-06,1.8,0.0,508.0,,0.6,-3.9,0.0
USC00439184,1998-01-07,0.0,0.0,508.0,,4.4,-1.1,-1.1
USC00439184,1998-01-08,36.8,0.0,432.0,,1.7,-1.1,0.0
USC00439184,1998-01-09,34.3,0.0,406.0,,1.7,-1.1,-0.6
USC00439184,1998-01-10,8.4,25.0,406.0,,0.6,-1.7,-1.1
USC00439184,1998-01-11,0.0,0.0,406.0,,2.8,-9.4,-9.4
USC00439184,1998-01-12,2.0,76.0,483.0,,-2.2,-22.2,-21.1
