STATION,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS
USC00439184,1995-12-01,,64.0,,,-3.3,-14.4,-5.6
USC00439184,1995-12-02,,89.0,,,1.7,-8.9,-7.8
USC00439184,1995-12-03,0.0,,,,-6.7,-19.4,-13.3
USC00439184,1995-12-04,,25.0,,,-1.1,-8.9,-2.2
USC00439184,1995-12-05,,76.0,,,2.8,-17.8,-16.1
USC00439184,1995-12-06,,76.0,,,-1.1,-6.7,-5.0
USC00439184,1995-12-07,,25.0,,,0.6,-12.8,-9.4
USC00439184,1995-12-08,,25.0,,,-3.3,-15.6,-14.4
USC00439184,1995-12-09,0.0,0.0,,,-11.1,-23.3,-18.3
USC00439184,1995-12-10,0.0,114.0,,,-5.0,-15.6,-14.4
USC00439184,1995-12-11,0.0,0.0,,,-9.4,-23.9,-14.4
USC00439184,1995-12-12,0.0,0.0,,,-11.1,-23.9,-23.3
USC00439184,1995-12-13,0.0,0.0,,,-10.0,-20.6,-18.3
USC00439184,1995-12-14,0.0,0.0,,,-8.3,-26.1,-23.9
USC00439184,1995-12-15,,203.0,,,-8.9,-15.6,-8.9
USC00439184,1995-12-16,,25.0,,,-4.4,-7.8,-6.1
USC00439184,1995-12-17,,51.0,,,-4.4,-7.8,-6.7
USC00439184,1995-12-18,0.0,0.0,,,-5.0,-10.6,-10.6
USC00439184,1995-12-19,0.0,0.0,,,-7.2,-25.0,-23.3
USC00439184,1995-12-20,,140.0,,,-8.3,-15.0,-9.4
USC00439184,1995-12-21,,25.0,,,-4.4,-14.4,-13.3
USC00439184,1995-12-22,,51.0,,,-5.6,-11.1,-11.1
USC00439184,1995-12-23,,0.0,,,-3.9,-6.7,-5.0
USC00439184,1995-12-24,,0.0,,,-2.2,-10.0,-8.9
USC00439184,1995-12-25,,0.0,,,-5.6,-10.6,-9.4
USC00439184,1995-12-26,,0.0,,,-5.0,-8.3,-7.2
USC00439184,1995-12-27,,38.0,,,-5.0,-13.3,-11.1
USC00439184,1995-12-28,,0.0,,,-6.7,-10.0,-7.8
USC00439184,1995-12-29,0.0,0.0,,,-5.6,-12.8,-12.2
USC00439184,1995-12-30,,25.0,,,-5.0,-11.1,-8.9
USC00439184,1995-12-31,,25.0,,,-2.2,-7.8,-4.4
USC00439184,1996-01-01,0.0,0.0,,,0.0,-10.0,-10.0
USC00439184,1996-01-02,0.0,0.0,,,-7.2,-18.9,-16.1
USC00439184,1996-01-03,0.0,0.0,,,-11.7,-18.3,-17.8
USC00439184,1996-01-04,5.3,140.0,,,,-22.8,-22.8
USC00439184,1996-01-05,0.0,0.0,,,-15.0,-31.7,-21.7
USC00439184,1996-01-06,0.0,0.0,,,-21.1,-28.3,-26.7
USC00439184,1996-01-07,0.0,0.0,,,-18.9,-32.8,-31.7
USC00439184,1996-01-08,0.0,0.0,,,-13.3,-21.1,-19.4
USC00439184,1996-01-09,0.0,0.0,,,-13.3,-23.9,-21.1
USC00439184,1996-01-10,1.8,25.0,,,-8.9,-12.8,-11.7
USC00439184,1996-01-11,0.5,18.0,,,-4.4,-28.3,-25.0
USC00439184,1996-01-12,0.0,0.0,,,-9.4,-20.6,-17.8
USC00439184,1996-01-13,11.7,229.0,,,-5.6,-8.9,-6.7
USC00439184,1996-01-14,0.0,0.0,,,-4.4,-11.1,-8.9
USC00439184,1996-01-15,0.0,0.0,,,1.7,-15.6,-15.6
USC00439184,1996-01-16,0.0,0.0,,,,,
USC00439184,1996-01-17,0.0,0.0,,,-1.1,-10.6,-1.1
USC00439184,1996-01-18,0.8,0.0,,,6.1,0.0,3.9
USC00439184,1996-01-19,0.0,0.0,,,11.1,4.4,7.2
USC00439184,1996-01-20,33.8,0.0,,,7.2,-13.3,-13.3
USC00439184,1996-01-21,0.0,0.0,,,-7.2,-16.7,-14.4
USC00439184,1996-01-22,1.3,25.0,,,-5.6,-9.4,-8.9
USC00439184,1996-01-23,0.0,0.0,,,-1.1,-7.2,-5.6
USC00439184,1996-01-24,4.3,64.0,,,1.7,-3.3,-2.2
USC00439184,1996-01-25,16.5,25.0,,,5.0,-13.3,-13.3
USC00439184,1996-01-26,0.0,0.0,,,-12.8,-20.6,-16.7
USC00439184,1996-01-27,2.0,25.0,,,-1.7,-10.6,-1.7
USC00439184,1996-01-28,29.0,64.0,,,6.1,-8.9,-8.3
USC00439184,1996-01-29,1.5,25.0,,,-11.1,-22.8,-22.8
USC00439184,1996-01-30,2.0,76.0,,,-5.6,-10.0,-5.6
USC00439184,1996-01-31,0.0,0.0,,,-0.6,-20.0,-19.4
USC00439184,1996-02-01,0.0,0.0,,,-7.8,-25.6,-25.6
USC00439184,1996-02-02,0.0,0.0,,,-12.2,-20.6,-16.1
USC00439184,1996-02-03,0.0,0.0,,,-6.1,-19.4,-19.4
USC00439184,1996-02-04,0.0,0.0,,,-15.6,-31.7,-31.1
USC00439184,1996-02-05,0.0,0.0,,,-16.1,-29.4,-28.9
USC00439184,1996-02-06,0.0,0.0,,,-9.4,-22.2,-21.7
USC00439184,1996-02-07,0.0,0.0,,,-9.4,-23.3,-15.0
USC00439184,1996-02-08,0.0,0.0,,,-2.2,-6.1,-5.6
USC00439184,1996-02-09,7.1,76.0,,,1.7,-1.7,-1.1
USC00439184,1996-02-10,1.0,15.0,,,2.8,-8.9,-8.9
USC00439184,1996-02-11,3.8,38.0,,,-3.3,-17.8,-6.7
USC00439184,1996-02-12,6.6,102.0,,,2.8,-16.1,-16.1
USC00439184,1996-02-13,0.0,0.0,,,-25.0,-16.1,-25.0
USC00439184,1996-02-14,0.3,5.0,,,,-16.7,-26.7
USC00439184,1996-02-15,1.3,25.0,,,-7.2,-16.7,-16.7
USC00439184,1996-02-16,0.0,0.0,,,0.0,-22.2,-22.2
USC00439184,1996-02-17,4.6,89.0,,,-4.4,-13.3,-13.3
USC00439184,1996-02-18,1.0,18.0,,,-7.2,-15.0,-13.9
USC00439184,1996-02-19,0.0,0.0,,,-30.0,-8.9,-28.9
USC00439184,1996-02-20,0.0,0.0,,,-6.1,-11.1,-6.1
USC00439184,1996-02-21,0.8,0.0,,,3.3,-6.1,3.3
USC00439184,1996-02-22,21.8,0.0,,,5.6,1.1,1.7
USC00439184,1996-02-23,2.5,0.0,,,7.8,0.0,0.0
USC00439184,1996-02-24,0.0,0.0,,,7.8,0.6,2.8
USC00439184,1996-02-25,18.3,152.0,,,4.4,-1.7,-1.7
USC00439184,1996-02-26,3.3,25.0,,,0.0,-7.2,-10.0
USC00439184,1996-02-27,0.0,0.0,,,-1.1,-11.7,-10.6
USC00439184,1996-02-28,0.0,0.0,,,4.4,-3.3,-0.6
USC00439184,1996-02-29,5.3,38.0,,,5.0,-17.8,-17.8
USC00439184,1996-03-01,0.0,0.0,,,-10.6,-23.3,-23.3
USC00439184,1996-03-02,0.0,0.0,,,-1.7,-19.4,-11.7
USC00439184,1996-03-03,0.0,0.0,,,-1.1,-11.1,-7.2
USC00439184,1996-03-04,1.8,38.0,,,0.0,-15.6,-15.0
USC00439184,1996-03-05,0.0,0.0,,,-7.8,-12.8,-12.2
USC00439184,1996-03-06,3.0,38.0,,,-3.3,-7.2,-7.2
USC00439184,1996-03-07,1.3,51.0,,,0.0,-15.0,-15.0
USC00439184,1996-03-08,7.6,140.0,,,-7.8,-16.1,-15.0
USC00439184,1996-03-09,4.6,114.0,,,-7.8,-19.4,-18.3
USC00439184,1996-03-10,0.0,0.0,,,-8.9,-26.1,-25.0
USC00439184,1996-03-11,0.0,0.0,,,-0.6,-22.2,-21.1
USC00439184,1996-03-12,0.0,0.0,,,5.0,-17.8,-17.8
USC00439184,1996-03-13,0.0,0.0,,,7.2,-11.7,-11.1
USC00439184,1996-03-14,0.0,0.0,,,10.0,-4.4,-3.3
USC00439184,1996-03-15,0.0,0.0,,,12.2,0.0,1.1
USC00439184,1996-03-16,0.0,0.0,,,7.2,-10.6,-10.6
USC00439184,1996-03-17,0.0,0.0,,,-2.8,-12.2,-11.7
USC00439184,1996-03-18,0.0,0.0,,,3.3,-13.9,-13.3
USC00439184,1996-03-19,0.0,0.0,,,7.2,-11.1,-10.6
USC00439184,1996-03-20,0.0,0.0,,,11.7,0.0,0.0
USC00439184,1996-03-21,12.4,127.0,,,5.6,-2.2,-1.7
USC00439184,1996-03-22,2.8,25.0,,,5.6,-2.8,-2.2
USC00439184,1996-03-23,1.0,18.0,,,2.8,-8.9,-7.8
USC00439184,1996-03-24,0.8,51.0,,,-1.1,-9.4,-8.9
USC00439184,1996-03-25,0.0,0.0,,,1.7,-6.1,-1.7
USC00439184,1996-03-26,1.3,0.0,,,13.3,2.2,2.8
