STATION,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS
USC00439184,1994-12-01,0.5,13.0,51.0,,2.2,-5.6,-5.6
USC00439184,1994-12-02,0.3,13.0,51.0,,-1.1,-6.7,-3.9
USC00439184,1994-12-03,0.0,0.0,25.0,,7.2,-6.1,-6.1
USC00439184,1994-12-04,0.0,0.0,25.0,,8.3,1.1,1.1
USC00439184,1994-12-05,0.0,0.0,25.0,,10.0,-1.7,3.3
USC00439184,1994-12-06,29.5,0.0,0.0,,5.6,2.2,2.2
USC00439184,1994-12-07,0.8,0.0,0.0,,6.1,-2.2,-2.2
USC00439184,1994-12-08,1.0,51.0,51.0,,-1.7,-11.1,-11.1
USC00439184,1994-12-09,0.3,13.0,76.0,,-7.2,-15.6,-15.6
USC00439184,1994-12-10,0.0,0.0,76.0,,0.0,-5.6,-5.6
USC00439184,1994-12-11,7.9,76.0,127.0,,0.6,-4.4,-0.6
USC00439184,1994-12-12,0.0,0.0,127.0,,0.0,-19.4,-19.4
USC00439184,1994-12-13,0.0,0.0,127.0,,-12.8,-22.8,-22.8
USC00439184,1994-12-14,0.3,13.0,127.0,,-5.6,-11.1,-9.4
USC00439184,1994-12-15,0.0,0.0,127.0,,-3.3,-6.7,-6.7
USC00439184,1994-12-16,0.0,0.0,127.0,,-0.6,-15.6,-15.0
USC00439184,1994-12-17,0.0,0.0,127.0,,-0.6,-4.4,-3.3
USC00439184,1994-12-18,5.1,25.0,127.0,,-0.6,-2.2,-1.1
USC00439184,1994-12-19,0.3,13.0,127.0,,1.7,-5.0,-5.0
USC00439184,1994-12-20,0.3,25.0,152.0,,-4.4,-15.0,-15.0
USC00439184,1994-12-21,0.0,0.0,127.0,,-2.2,-7.8,-3.9
USC00439184,1994-12-22,0.0,0.0,127.0,,8.9,-7.2,-7.2
USC00439184,1994-12-23,0.0,0.0,102.0,,10.0,-7.8,-7.2
USC00439184,1994-12-24,0.0,0.0,102.0,,4.4,-2.2,2.2
USC00439184,1994-12-25,11.4,0.0,51.0,,5.0,-1.7,-1.7
USC00439184,1994-12-26,0.0,0.0,51.0,,1.7,-7.8,-5.6
USC00439184,1994-12-27,0.0,0.0,25.0,,-1.7,-8.9,-8.9
USC00439184,1994-12-28,0.0,0.0,25.0,,0.6,-3.9,-3.3
USC00439184,1994-12-29,2.5,0.0,25.0,,2.8,-9.4,-9.4
USC00439184,1994-12-30,0.5,0.0,25.0,,-8.3,-21.7,-21.7
USC00439184,1994-12-31,0.0,0.0,25.0,,-14.4,-20.6,-18.9
USC00439184,1995-01-01,0.0,0.0,25.0,,-3.3,-6.7,-6.7
USC00439184,1995-01-02,2.0,0.0,25.0,,0.0,-1.1,-2.8
USC00439184,1995-01-03,1.5,51.0,76.0,,-0.6,-11.1,-10.6
USC00439184,1995-01-04,0.5,25.0,102.0,,-4.4,-10.6,-8.3
USC00439184,1995-01-05,2.0,76.0,178.0,,-5.6,-21.1,-21.1
USC00439184,1995-01-06,0.0,0.0,178.0,,-11.1,-22.2,-22.2
USC00439184,1995-01-07,8.1,64.0,254.0,,-2.8,-6.1,-6.1
USC00439184,1995-01-08,0.0,0.0,254.0,,-3.3,-11.7,-10.6
USC00439184,1995-01-09,0.8,25.0,254.0,,-5.0,-12.2,-8.3
USC00439184,1995-01-10,0.0,0.0,254.0,,-5.0,-25.6,-25.6
USC00439184,1995-01-11,0.0,0.0,254.0,,-13.9,-30.0,-25.6
USC00439184,1995-01-12,4.3,51.0,305.0,,-6.7,-15.6,-7.2
