STATION,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS
USC00439184,2000-02-20,0.0,13.0,1168.0,,0.0,-10.0,-7.8
USC00439184,2000-02-21,1.8,51.0,1219.0,,-1.7,-17.8,-17.2
USC00439184,2000-02-22,0.0,0.0,1219.0,,-1.7,-17.8,-12.2
USC00439184,2000-02-23,0.0,0.0,1168.0,,5.6,-12.8,-1.1
USC00439184,2000-02-24,0.0,0.0,1016.0,,7.2,-1.1,1.1
USC00439184,2000-02-25,4.3,0.0,914.0,,10.0,0.0,2.2
USC00439184,2000-02-26,8.9,0.0,813.0,,2.8,-3.3,-2.2
USC00439184,2000-02-27,1.5,0.0,762.0,,3.3,-2.2,3.3
USC00439184,2000-02-28,7.1,0.0,508.0,,3.3,2.2,2.2
USC00439184,2000-02-29,0.0,0.0,508.0,,3.9,-4.4,-3.9
USC00439184,2000-03-01,0.0,0.0,483.0,,2.8,-10.0,-8.9
USC00439184,2000-03-02,0.0,0.0,457.0,,6.7,-4.4,1.1
USC00439184,2000-03-03,0.0,0.0,432.0,,5.0,-5.6,-4.4
USC00439184,2000-03-04,0.0,0.0,432.0,,-3.9,-6.7,-5.6
USC00439184,2000-03-05,0.0,0.0,406.0,,2.8,-6.7,-5.0
USC00439184,2000-03-06,0.0,0.0,381.0,,1.7,-6.7,-5.6
USC00439184,2000-03-07,0.0,0.0,381.0,,2.2,-10.0,-6.7
USC00439184,2000-03-08,0.0,0.0,330.0,,8.3,-10.0,-3.3
USC00439184,2000-03-09,0.0,0.0,279.0,,7.2,1.1,2.8
USC00439184,2000-03-10,0.0,0.0,203.0,,15.0,-8.9,-7.8
USC00439184,2000-03-11,0.0,0.0,152.0,,-1.1,-6.1,-3.9
USC00439184,2000-03-12,20.3,127.0,203.0,,-0.6,-5.6,-0.6
USC00439184,2000-03-13,0.0,0.0,203.0,,1.7,-12.2,-10.0
USC00439184,2000-03-14,0.0,0.0,203.0,,-3.9,-17.8,-11.1
USC00439184,2000-03-15,0.0,0.0,178.0,,4.4,-12.2,-10.6
USC00439184,2000-03-16,0.0,0.0,152.0,,8.9,-6.7,-2.8
USC00439184,2000-03-17,13.0,114.0,254.0,,8.9,-7.8,-6.1
USC00439184,2000-03-18,0.0,0.0,254.0,,-4.4,-23.3,-21.7
USC00439184,2000-03-19,0.0,0.0,229.0,,2.2,-17.2,-12.2
USC00439184,2000-03-20,0.0,0.0,229.0,,6.1,-10.0,-8.9
USC00439184,2000-03-21,0.0,0.0,203.0,,10.0,-10.0,-8.9
USC00439184,2000-03-22,0.0,0.0,178.0,,13.3,-10.6,-4.4
USC00439184,2000-03-23,0.0,0.0,152.0,,13.3,-5.6,-3.3
USC00439184,2000-03-24,0.0,0.0,102.0,,12.8,-2.2,-2.2
USC00439184,2000-03-25,0.0,0.0,76.0,,12.2,-7.2,-4.4
USC00439184,2000-03-26,5.1,0.0,25.0,,10.6,-1.7,-1.1
USC00439184,2000-03-27,0.0,0.0,25.0,,9.4,-3.9,-2.8
USC00439184,2000-03-28,0.0,0.0,25.0,,11.1,3.3,6.7
USC00439184,2000-03-29,17.3,0.0,0.0,,10.0,-2.2,0.0
USC00439184,2000-03-30,0.0,0.0,0.0,,6.7,-2.2,0.6
USC00439184,2000-03-31,0.0,0.0,0.0,,5.6,-3.9,-0.6
USC00439184,2000-04-01,0.0,0.0,0.0,,4.4,-4.4,-0.6
USC00439184,2000-04-02,0.0,0.0,0.0,,12.2,-2.8,1.7
USC00439184,2000-04-03,13.2,0.0,0.0,,11.1,1.1,1.1
USC00439184,2000-04-04,20.8,0.0,0.0,,5.6,0.6,3.9
USC00439184,2000-04-05,13.2,0.0,0.0,,12.8,-0.6,-0.6
USC00439184,2000-04-06,1.0,,25.0,,2.8,-5.6,-5.6
USC00439184,2000-04-07,5.3,0.0,0.0,,3.3,-7.8,-0.6
USC00439184,2000-04-08,4.1,0.0,0.0,,7.2,-1.1,2.2
USC00439184,2000-04-09,5.1,0.0,0.0,,16.7,-1.1,-0.6
USC00439184,2000-04-10,38.4,,254.0,,0.6,-6.7,-3.3
USC00439184,2000-04-11,0.0,0.0,,,3.3,-6.7,-3.3
USC00439184,2000-04-12,9.7,127.0,127.0,,7.2,-4.4,-1.1
USC00439184,2000-04-13,0.0,0.0,102.0,,0.0,-12.2,-8.9
USC00439184,2000-04-14,0.0,0.0,76.0,,4.4,-10.6,-7.8
USC00439184,2000-04-15,0.0,0.0,25.0,,12.8,-9.4,5.6
USC00439184,2000-04-16,0.0,0.0,0.0,,21.7,3.9,5.6
USC00439184,2000-04-17,0.0,0.0,0.0,,8.3,-4.4,-4.4
