STATION,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS
USC00439184,2002-12-01,2.0,13.0,229.0,,3.9,-7.2,-7.2
USC00439184,2002-12-02,1.3,64.0,305.0,,-6.7,-20.6,-15.0
USC00439184,2002-12-03,2.0,64.0,356.0,,-3.3,-16.7,-16.7
USC00439184,2002-12-11,0.0,0.0,254.0,,-2.2,-21.7,-15.0
USC00439184,2002-12-12,17.3,216.0,381.0,,0.6,-16.1,-1.1
USC00439184,2002-12-13,0.0,0.0,381.0,,1.1,-12.2,-12.2
