STATION,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS
USC00439184,1995-02-20,0.0,0.0,229.0,,10.0,-8.9,-7.8
USC00439184,1995-02-21,0.0,0.0,203.0,,5.0,-3.3,-3.3
USC00439184,1995-02-22,0.0,0.0,203.0,,1.7,-8.9,-8.9
USC00439184,1995-02-23,0.0,0.0,203.0,,-2.8,-11.1,-6.7
USC00439184,1995-02-24,3.3,51.0,254.0,,5.6,-1.7,-0.6
USC00439184,1995-02-25,3.3,25.0,279.0,,0.6,-18.3,-18.3
USC00439184,1995-02-26,0.0,0.0,279.0,,-10.6,-23.3,-23.3
USC00439184,1995-02-27,0.0,0.0,279.0,,-12.2,-28.3,-21.7
USC00439184,1995-02-28,21.1,292.0,559.0,,-7.2,-10.6,-7.8
USC00439184,1995-03-01,6.1,89.0,635.0,,-0.6,-5.6,-5.0
USC00439184,1995-03-02,0.0,0.0,584.0,,-0.6,-10.0,-9.4
USC00439184,1995-03-03,0.0,0.0,559.0,,-4.4,-28.3,-28.3
USC00439184,1995-03-04,0.0,0.0,559.0,,-2.2,-25.6,-23.3
USC00439184,1995-03-05,0.0,0.0,559.0,,4.4,-19.4,-17.8
USC00439184,1995-03-06,0.0,0.0,508.0,,6.1,-2.2,-1.7
USC00439184,1995-03-07,0.0,0.0,508.0,,3.9,-1.1,-1.1
USC00439184,1995-03-08,0.3,0.0,432.0,,7.2,0.6,6.7
USC00439184,1995-03-09,27.2,64.0,356.0,,12.8,-10.6,-9.4
USC00439184,1995-03-10,0.5,51.0,406.0,,-7.8,-16.7,-16.7
USC00439184,1995-03-11,0.0,0.0,406.0,,-8.9,-22.8,-22.8
USC00439184,1995-03-12,3.3,38.0,457.0,,-0.6,-6.7,-6.1
USC00439184,1995-03-13,0.0,0.0,457.0,,0.0,-4.4,-3.3
USC00439184,1995-03-14,0.0,0.0,305.0,,14.4,-1.1,0.0
USC00439184,1995-03-15,1.3,0.0,279.0,,7.2,1.1,2.8
USC00439184,1995-03-16,0.0,0.0,178.0,,15.0,1.1,3.3
USC00439184,1995-03-17,5.1,0.0,127.0,,10.6,1.7,1.7
USC00439184,1995-03-18,2.5,0.0,127.0,,5.0,-1.1,-1.1
USC00439184,1995-03-19,0.0,0.0,127.0,,2.8,-2.8,-2.8
USC00439184,1995-03-20,0.0,0.0,51.0,,10.0,-1.1,-1.1
USC00439184,1995-03-21,0.0,0.0,25.0,,9.4,1.7,2.2
USC00439184,1995-03-22,9.9,0.0,0.0,,9.4,0.0,0.6
USC00439184,1995-03-23,1.5,0.0,0.0,,4.4,-1.1,-1.1
USC00439184,1995-03-24,0.8,0.0,0.0,,3.3,-5.6,-5.6
USC00439184,1995-03-25,0.0,0.0,0.0,,-2.2,-8.3,-8.3
USC00439184,1995-03-26,0.0,0.0,0.0,,2.2,-2.2,-2.2
USC00439184,1995-03-27,0.0,0.0,0.0,,3.3,-4.4,-3.3
USC00439184,1995-03-28,0.0,0.0,0.0,,8.3,-4.4,-2.2
USC00439184,1995-03-29,0.0,0.0,0.0,,9.4,-6.7,-6.7
USC00439184,1995-03-30,0.0,0.0,0.0,,12.8,0.6,0.6
USC00439184,1995-03-31,3.8,25.0,25.0,,2.2,-0.6,-0.6
USC00439184,1995-04-01,0.0,0.0,0.0,,4.4,-7.2,-6.1
USC00439184,1995-04-02,0.0,0.0,0.0,,1.7,-10.6,-10.6
USC00439184,1995-04-03,0.0,0.0,0.0,,4.4,-10.0,-10.0
USC00439184,1995-04-04,0.0,0.0,0.0,,7.2,0.6,0.6
USC00439184,1995-04-05,9.9,25.0,25.0,,1.7,-16.1,-16.1
USC00439184,1995-04-06,0.0,0.0,25.0,,-10.0,-14.4,-14.4
USC00439184,1995-04-07,0.3,13.0,25.0,,-0.6,-6.7,-6.7
USC00439184,1995-04-08,0.0,0.0,0.0,,1.7,-10.6,-10.6
USC00439184,1995-04-09,0.0,0.0,0.0,,6.7,-0.6,-0.6
USC00439184,1995-04-10,0.5,0.0,0.0,,3.3,-8.9,-8.9
USC00439184,1995-04-11,0.0,0.0,0.0,,6.1,-8.3,-8.3
USC00439184,1995-04-12,0.0,0.0,0.0,,12.8,1.7,2.8
USC00439184,1995-04-13,5.3,0.0,0.0,,7.2,3.9,4.4
USC00439184,1995-04-14,0.5,0.0,0.0,,11.1,-1.1,1.1
USC00439184,1995-04-15,0.0,0.0,0.0,,5.6,-2.8,-2.8
USC00439184,1995-04-16,2.8,51.0,51.0,,1.7,-3.9,-2.8
USC00439184,1995-04-17,0.0,0.0,0.0,,0.6,-7.8,-7.8
USC00439184,1995-04-18,0.0,0.0,0.0,,9.4,-2.8,-2.8
USC00439184,1995-04-19,0.0,0.0,0.0,,15.0,0.6,4.4
USC00439184,1995-04-20,1.3,0.0,0.0,,8.9,2.8,4.4
USC00439184,1995-04-21,0.0,0.0,0.0,,10.0,-1.1,-0.6
USC00439184,1995-04-22,10.4,0.0,0.0,,12.8,4.4,6.1
USC00439184,1995-04-23,1.0,0.0,0.0,,10.6,0.0,0.0
