STATION,DATE,PRCP,SNOW,SNWD,TMAX,TMIN
USC00439099,1987-12-01,18.3,0.0,51.0,5.0,-0.6
USC00439099,1987-12-02,0.0,0.0,51.0,3.3,-1.1
USC00439099,1987-12-03,0.0,0.0,51.0,0.0,-11.1
USC00439099,1987-12-04,0.0,0.0,51.0,0.0,-6.7
USC00439099,1987-12-05,0.0,3.0,51.0,0.6,-7.2
USC00439099,1987-12-06,0.5,13.0,51.0,-2.2,-6.7
USC00439099,1987-12-07,0.0,0.0,51.0,-2.8,-7.8
USC00439099,1987-12-08,0.0,0.0,51.0,-2.8,-19.4
USC00439099,1987-12-09,0.0,0.0,51.0,0.6,-18.3
USC00439099,1987-12-10,3.6,0.0,25.0,5.0,-1.1
USC00439099,1987-12-11,0.5,0.0,25.0,3.3,0.0
USC00439099,1987-12-12,0.0,0.0,25.0,3.9,-2.8
USC00439099,1987-12-13,2.8,25.0,51.0,1.7,-2.2
USC00439099,1987-12-14,0.3,0.0,51.0,2.8,-0.6
USC00439099,1987-12-15,0.3,0.0,51.0,3.3,-4.4
USC00439099,1987-12-16,9.7,102.0,152.0,1.7,-3.9
USC00439099,1987-12-17,3.3,51.0,203.0,0.6,-6.7
USC00439099,1987-12-18,0.3,0.0,178.0,-4.4,-12.2
USC00439099,1987-12-19,0.0,0.0,178.0,-7.2,-12.8
USC00439099,1987-12-20,1.0,25.0,178.0,-3.9,-11.1
USC00439099,1987-12-21,14.0,127.0,254.0,-0.6,-6.7
USC00439099,1987-12-22,0.8,13.0,254.0,2.2,-4.4
USC00439099,1987-12-23,0.0,0.0,254.0,2.2,-11.7
USC00439099,1987-12-24,1.0,13.0,254.0,1.1,-14.4
USC00439099,1987-12-25,4.6,13.0,254.0,0.6,-13.9
USC00439099,1987-12-26,2.5,0.0,203.0,5.0,-5.0
USC00439099,1987-12-27,0.0,0.0,203.0,-3.9,-17.2
USC00439099,1987-12-28,1.8,51.0,254.0,-2.2,-15.0
USC00439099,1987-12-29,0.0,0.0,254.0,-10.0,-14.4
USC00439099,1987-12-30,0.5,0.0,229.0,-11.1,-23.9
USC00439099,1987-12-31,0.0,0.0,203.0,-16.1,-25.6
USC00439099,1988-01-01,0.0,0.0,203.0,-2.8,-25.6
USC00439099,1988-01-02,1.3,25.0,229.0,2.2,-10.0
USC00439099,1988-01-03,0.0,0.0,229.0,-6.1,-20.6
USC00439099,1988-01-04,0.0,0.0,203.0,-5.0,-20.0
USC00439099,1988-01-05,5.3,102.0,305.0,-2.8,-13.3
USC00439099,1988-01-06,0.5,13.0,305.0,-10.6,-21.1
USC00439099,1988-01-07,0.0,0.0,305.0,-15.0,-26.7
USC00439099,1988-01-08,0.0,0.0,305.0,-15.6,-28.9
USC00439099,1988-01-09,2.8,76.0,356.0,-10.6,-26.1
USC00439099,1988-01-10,0.5,25.0,356.0,-5.0,-22.2
USC00439099,1988-01-11,0.0,0.0,356.0,-9.4,-30.6
USC00439099,1988-01-12,0.0,0.0,305.0,-9.4,-30.6
USC00439099,1988-01-13,0.3,0.0,305.0,0.0,-14.4
USC00439099,1988-01-14,0.0,0.0,305.0,2.2,-30.6
USC00439099,1988-01-15,0.0,0.0,305.0,-18.9,-34.4
USC00439099,1988-01-16,0.0,0.0,279.0,-12.2,-33.3
USC00439099,1988-01-17,0.0,0.0,279.0,-1.7,-14.4
USC00439099,1988-01-18,0.0,0.0,279.0,2.8,-13.9
USC00439099,1988-01-19,20.3,25.0,279.0,1.7,-1.1
USC00439099,1988-01-20,0.0,0.0,279.0,1.7,-9.4
USC00439099,1988-01-21,5.6,25.0,305.0,1.1,-6.7
USC00439099,1988-01-22,0.0,0.0,305.0,2.2,-13.3
USC00439099,1988-01-23,0.0,0.0,305.0,-5.6,-26.1
USC00439099,1988-01-24,0.0,0.0,305.0,-3.9,-25.6
USC00439099,1988-01-25,1.3,25.0,330.0,-0.6,-17.8
USC00439099,1988-01-26,10.2,203.0,508.0,3.3,-5.6
USC00439099,1988-01-27,0.8,13.0,508.0,-3.9,-26.7
USC00439099,1988-01-28,0.0,0.0,508.0,-13.9,-31.1
USC00439099,1988-01-29,0.3,0.0,508.0,-10.6,-31.1
USC00439099,1988-01-30,0.3,0.0,432.0,-4.4,-25.0
USC00439099,1988-01-31,0.5,0.0,432.0,1.7,-5.6
USC00439099,1988-02-01,1.3,0.0,356.0,7.8,0.6
USC00439099,1988-02-02,3.0,0.0,305.0,5.6,-0.6
USC00439099,1988-02-03,1.3,13.0,305.0,1.1,-20.6
USC00439099,1988-02-04,8.1,102.0,406.0,-6.1,-20.6
USC00439099,1988-02-05,5.6,76.0,483.0,-3.3,-21.7
USC00439099,1988-02-06,0.0,0.0,432.0,-13.3,-32.2
USC00439099,1988-02-07,0.3,0.0,432.0,-10.0,-30.0
USC00439099,1988-02-08,1.3,13.0,432.0,-11.1,-27.8
USC00439099,1988-02-09,0.0,0.0,432.0,-6.7,-26.1
USC00439099,1988-02-10,1.0,13.0,432.0,-4.4,-26.1
USC00439099,1988-02-11,0.3,0.0,432.0,-3.9,-23.9
USC00439099,1988-02-12,1.3,13.0,432.0,-2.8,-20.6
USC00439099,1988-02-13,25.1,356.0,762.0,-1.7,-10.0
USC00439099,1988-02-14,4.1,51.0,762.0,-6.7,-13.9
USC00439099,1988-02-15,0.0,0.0,711.0,-5.0,-16.1
USC00439099,1988-02-16,2.0,25.0,686.0,2.2,-12.8
USC00439099,1988-02-17,0.0,0.0,686.0,1.7,-10.0
USC00439099,1988-02-18,0.0,0.0,635.0,0.0,-9.4
USC00439099,1988-02-19,0.0,0.0,635.0,1.1,-20.6
USC00439099,1988-02-20,12.7,127.0,762.0,6.1,-20.0
USC00439099,1988-02-21,0.3,0.0,660.0,3.9,-8.9
USC00439099,1988-02-22,0.0,0.0,660.0,-7.2,-24.4
USC00439099,1988-02-23,0.0,0.0,635.0,1.7,-18.9
USC00439099,1988-02-24,2.0,13.0,635.0,2.8,-16.1
USC00439099,1988-02-25,0.0,0.0,635.0,-2.8,-22.2
USC00439099,1988-02-26,0.0,0.0,635.0,-2.2,-25.6
USC00439099,1988-02-27,0.0,0.0,635.0,-2.8,-25.0
USC00439099,1988-02-28,0.0,0.0,610.0,1.1,-23.3
USC00439099,1988-02-29,0.0,0.0,610.0,0.0,-22.8
USC00439099,1988-03-01,0.3,0.0,610.0,3.3,-15.6
USC00439099,1988-03-02,0.0,0.0,610.0,-5.6,-26.7
USC00439099,1988-03-03,0.3,0.0,610.0,0.0,-26.7
USC00439099,1988-03-04,0.3,0.0,610.0,-2.2,-10.6
USC00439099,1988-03-05,1.0,13.0,610.0,-2.2,-20.0
USC00439099,1988-03-06,0.0,0.0,610.0,-5.0,-24.4
USC00439099,1988-03-07,0.0,0.0,610.0,5.6,-23.3
